23:06:33.766 {org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1} INFO  o.a.k.c.c.i.ConsumerRebalanceListenerInvoker - [Consumer clientId=consumer-sentiments-group-6, groupId=sentiments-group] Revoke previously assigned partitions [sentiment-0, sentiment-1, sentiment-2, sentiment-3, sentiment-4, sentiment-5]
23:06:33.769 {org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1} INFO  o.s.k.l.KafkaMessageListenerContainer - sentiments-group: partitions revoked: [sentiment-0, sentiment-1, sentiment-2, sentiment-3, sentiment-4, sentiment-5]
23:06:33.769 {org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1} INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-sentiments-group-6, groupId=sentiments-group] Member consumer-sentiments-group-6-3a83b9a3-fef7-4f32-aae7-1d205975cc79 sending LeaveGroup request to coordinator b7-pkc-921jm.us-east-2.aws.confluent.cloud:9092 (id: 2147483640 rack: null isFenced: false) due to the consumer unsubscribed from all topics
23:06:33.769 {org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1} INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-sentiments-group-6, groupId=sentiments-group] Resetting generation and member id due to: consumer pro-actively leaving the group
23:06:33.770 {org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1} INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-sentiments-group-6, groupId=sentiments-group] Request joining group due to: consumer pro-actively leaving the group
23:06:33.770 {org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1} INFO  o.a.k.c.c.i.ClassicKafkaConsumer - [Consumer clientId=consumer-sentiments-group-6, groupId=sentiments-group] Unsubscribed all topics or patterns and assigned partitions
23:06:33.770 {org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1} INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-sentiments-group-6, groupId=sentiments-group] Resetting generation and member id due to: consumer pro-actively leaving the group
23:06:33.770 {org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1} INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-sentiments-group-6, groupId=sentiments-group] Request joining group due to: consumer pro-actively leaving the group
23:06:34.409 {org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1} INFO  o.a.kafka.common.metrics.Metrics - Metrics scheduler closed
23:06:34.410 {org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1} INFO  o.a.kafka.common.metrics.Metrics - Closing reporter org.apache.kafka.common.metrics.JmxReporter
23:06:34.410 {org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1} INFO  o.a.kafka.common.metrics.Metrics - Closing reporter org.apache.kafka.common.telemetry.internals.ClientTelemetryReporter
23:06:34.410 {org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1} INFO  o.a.kafka.common.metrics.Metrics - Metrics reporters closed
23:06:34.423 {org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1} INFO  o.a.kafka.common.utils.AppInfoParser - App info kafka.consumer for consumer-sentiments-group-6 unregistered
23:06:34.423 {org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1} INFO  o.s.k.l.KafkaMessageListenerContainer - sentiments-group: Consumer stopped
23:06:34.424 {SpringApplicationShutdownHook} INFO  o.s.boot.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
23:06:34.430 {tomcat-shutdown} INFO  o.s.boot.tomcat.GracefulShutdown - Graceful shutdown complete
